RegionID,SizeRank,RegionName,RegionType,StateName,InterestAverage_2005,InterestAverage_2010,InterestAverage_2015,InterestAverage_2020,Average_2005,Average_2010,Average_2015,Average_2020
102001,0,UnitedStates,Country,,5.866730769,4.689807692,3.850576923,3.432857143,195475,174184,194076,248850
394913,1,NewYorkCity,Msa,NY,5.866730769,4.689807692,3.850576923,3.432857143,444629,403317,414806,486502
753899,2,LosAngeles,Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,560105,432976,547017,694156
394463,3,"Chicago,IL",Msa,IL,5.866730769,4.689807692,3.850576923,3.432857143,256753,210135,206541,243143
394514,4,"Dallas-FortWorth,TX",Msa,TX,5.866730769,4.689807692,3.850576923,3.432857143,152478,150397,183593,256061
394974,5,"Philadelphia,PA",Msa,PA,5.866730769,4.689807692,3.850576923,3.432857143,225885,228449,215698,253124
394692,6,Houston,Msa,TX,5.866730769,4.689807692,3.850576923,3.432857143,147495,150038,184595,219155
395209,7,DistrictColumbia,Msa,DC,5.866730769,4.689807692,3.850576923,3.432857143,417251,339866,382710,440254
394856,8,Miami,Msa,FL,5.866730769,4.689807692,3.850576923,3.432857143,271555,175380,233273,303358
394347,9,Atlanta,Msa,GA,5.866730769,4.689807692,3.850576923,3.432857143,190269,153151,176662,244187
394404,10,Boston,Msa,MA,5.866730769,4.689807692,3.850576923,3.432857143,421798,353494,403573,498790
395057,11,SanFrancisco,Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,744622,586515,858636,1134237
394532,12,"Detroit,MI",Msa,MI,5.866730769,4.689807692,3.850576923,3.432857143,177825,99193,133108,183620
395025,13,"Riverside,CA",Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,349992,207285,300213,388597
394976,14,"Phoenix,AZ",Msa,AZ,5.866730769,4.689807692,3.850576923,3.432857143,249010,155303,214009,294083
395078,15,"Seattle,WA",Msa,WA,5.866730769,4.689807692,3.850576923,3.432857143,325431,312325,363366,540044
394865,16,"Minneapolis-StPaul,MN",Msa,MN,5.866730769,4.689807692,3.850576923,3.432857143,258313,209208,230821,297866
395056,17,"SanDiego,CA",Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,568853,389909,488218,624553
395121,18,"St.Louis,MO",Msa,MO,5.866730769,4.689807692,3.850576923,3.432857143,161319,153901,149081,181152
395148,19,"Tampa,FL",Msa,FL,5.866730769,4.689807692,3.850576923,3.432857143,198251,140412,162583,232875
394358,20,"Baltimore,MD",Msa,MD,5.866730769,4.689807692,3.850576923,3.432857143,286768,274094,265947,295781
394530,21,"Denver,CO",Msa,CO,5.866730769,4.689807692,3.850576923,3.432857143,259570,241352,323255,445068
394982,22,"Pittsburgh,PA",Msa,PA,5.866730769,4.689807692,3.850576923,3.432857143,111437,121898,131517,160675
394998,23,"Portland,OR",Msa,OR,5.866730769,4.689807692,3.850576923,3.432857143,252720,258825,314503,423256
394458,24,"Charlotte,NC",Msa,NC,5.866730769,4.689807692,3.850576923,3.432857143,164822,163751,172344,240042
395045,25,"Sacramento,CA",Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,425198,246961,328168,439793
395055,26,"SanAntonio,TX",Msa,TX,5.866730769,4.689807692,3.850576923,3.432857143,131782,143230,162988,206575
394943,27,Orlando,Msa,FL,5.866730769,4.689807692,3.850576923,3.432857143,220196,147467,185520,258899
394466,28,"Cincinnati,OH",Msa,OH,5.866730769,4.689807692,3.850576923,3.432857143,156092,146082,144756,187995
394475,29,"Cleveland,OH",Msa,OH,5.866730769,4.689807692,3.850576923,3.432857143,154224,132082,126271,160505
394735,30,"KansasCity,MO",Msa,MO,5.866730769,4.689807692,3.850576923,3.432857143,148873,148854,154418,207079
394775,31,LasVegas,Msa,NV,5.866730769,4.689807692,3.850576923,3.432857143,317929,148859,203843,295274
394492,32,"Columbus,OH",Msa,OH,5.866730769,4.689807692,3.850576923,3.432857143,162018,149412,157177,215095
394705,33,"Indianapolis,IN",Msa,IN,5.866730769,4.689807692,3.850576923,3.432857143,132794,131049,138587,183513
395059,34,"SanJose,CA",Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,706580,659595,954314,1235739
394355,35,"Austin,TX",Msa,TX,5.866730769,4.689807692,3.850576923,3.432857143,202007,209917,271140,343552
395194,36,"VirginiaBeach,VA",Msa,VA,5.866730769,4.689807692,3.850576923,3.432857143,213003,229009,219329,245567
394902,37,"Nashville,TN",Msa,TN,5.866730769,4.689807692,3.850576923,3.432857143,168532,175858,199286,284505
395005,38,"Providence,RI",Msa,RI,5.866730769,4.689807692,3.850576923,3.432857143,323602,257095,257276,322897
394862,39,"Milwaukee,WI",Msa,WI,5.866730769,4.689807692,3.850576923,3.432857143,187070,171592,165249,211292
394714,40,"Jacksonville,FL",Msa,FL,5.866730769,4.689807692,3.850576923,3.432857143,193214,163399,173144,233320
394849,41,"Memphis,TN",Msa,TN,5.866730769,4.689807692,3.850576923,3.432857143,135428,118951,118437,156672
394935,42,"OklahomaCity,OK",Msa,OK,5.866730769,4.689807692,3.850576923,3.432857143,113922,127533,136560,157985
394807,43,"Louisville-JeffersonCounty,KY",Msa,KY,5.866730769,4.689807692,3.850576923,3.432857143,137756,138879,142643,182978
394669,44,"Hartford,CT",Msa,CT,5.866730769,4.689807692,3.850576923,3.432857143,260183,244811,223279,239553
395022,45,"Richmond,VA",Msa,VA,5.866730769,4.689807692,3.850576923,3.432857143,198256,204154,202356,249251
394910,46,"NewOrleans,LA",Msa,LA,5.866730769,4.689807692,3.850576923,3.432857143,164302,177105,182664,207594
394425,47,"Buffalo,NY",Msa,NY,5.866730769,4.689807692,3.850576923,3.432857143,113261,127151,136456,176292
395012,48,"Raleigh,NC",Msa,NC,5.866730769,4.689807692,3.850576923,3.432857143,202502,213944,226166,287558
394388,49,"Birmingham,AL",Msa,AL,5.866730769,4.689807692,3.850576923,3.432857143,141246,136541,134934,167274
395053,50,"SaltLakeCity,UT",Msa,UT,5.866730769,4.689807692,3.850576923,3.432857143,202850,228823,268583,386244
395031,51,"Rochester,NY",Msa,NY,5.866730769,4.689807692,3.850576923,3.432857143,122966,128341,130545,158453
394640,52,"GrandRapids,MI",Msa,MI,5.866730769,4.689807692,3.850576923,3.432857143,152149,129009,156905,224970
395167,53,"Tucson,AZ",Msa,AZ,5.866730769,4.689807692,3.850576923,3.432857143,214699,173821,172447,229523
753924,54,Honolulu,Msa,HI,5.866730769,4.689807692,3.850576923,3.432857143,481467,513285,610682,698380
395169,55,"Tulsa,OK",Msa,OK,5.866730769,4.689807692,3.850576923,3.432857143,118007,125769,127859,150112
394619,56,"Fresno,CA",Msa,CA,5.866730769,4.689807692,3.850576923,3.432857143,271262,171412,202597,268459
