,RegionName,StateName,interest_rates,home_values,year
1,NewYorkCity,NY,5.866730769,444629,2005
2,LosAngeles,CA,5.866730769,560105,2005
6,Houston,TX,5.866730769,147495,2005
7,DistrictColumbia,DC,5.866730769,417251,2005
8,Miami,FL,5.866730769,271555,2005
10,Boston,MA,5.866730769,421798,2005
11,SanFrancisco,CA,5.866730769,744622,2005
27,Orlando,FL,5.866730769,220196,2005
31,LasVegas,NV,5.866730769,317929,2005
54,Honolulu,HI,5.866730769,481467,2005
1,NewYorkCity,NY,4.689807692,403317,2010
2,LosAngeles,CA,4.689807692,432976,2010
6,Houston,TX,4.689807692,150038,2010
7,DistrictColumbia,DC,4.689807692,339866,2010
8,Miami,FL,4.689807692,175380,2010
10,Boston,MA,4.689807692,353494,2010
11,SanFrancisco,CA,4.689807692,586515,2010
27,Orlando,FL,4.689807692,147467,2010
31,LasVegas,NV,4.689807692,148859,2010
54,Honolulu,HI,4.689807692,513285,2010
1,NewYorkCity,NY,3.850576923,414806,2015
2,LosAngeles,CA,3.850576923,547017,2015
6,Houston,TX,3.850576923,184595,2015
7,DistrictColumbia,DC,3.850576923,382710,2015
8,Miami,FL,3.850576923,233273,2015
10,Boston,MA,3.850576923,403573,2015
11,SanFrancisco,CA,3.850576923,858636,2015
27,Orlando,FL,3.850576923,185520,2015
31,LasVegas,NV,3.850576923,203843,2015
54,Honolulu,HI,3.850576923,610682,2015
1,NewYorkCity,NY,3.432857143,486502,2020
2,LosAngeles,CA,3.432857143,694156,2020
6,Houston,TX,3.432857143,219155,2020
7,DistrictColumbia,DC,3.432857143,440254,2020
8,Miami,FL,3.432857143,303358,2020
10,Boston,MA,3.432857143,498790,2020
11,SanFrancisco,CA,3.432857143,1134237,2020
27,Orlando,FL,3.432857143,258899,2020
31,LasVegas,NV,3.432857143,295274,2020
54,Honolulu,HI,3.432857143,698380,2020
